spec 		مواصفات
curation	تنظيم
quirks 		مراوغات
intriguing 	مثيرة للأهتمام
vigilant 	يقظ
tampering	العبث
throttling	خانق
notwithstanding	بالرغم من ذلك 
swiftly 	بسرعة
obfuscation 	تشويش
Mitigation	تخفيف
compromising 	تنازل
consent		موافقة - قبول
opposed to	يعارض
ramps 		سلالم - انحدار
provision 	توفير - رزق
Nonetheless	ومع ذلك
pinpointing 	تحديد
thrashing	سحق
akin 		قريب - زى ما تكون 
lessen 		تقليل
obviate 	تجنب
opinionated	عنيد
nimbler		خفيف - رشيق - ذكى 
sparingly 	بأعتدال
handful		حفنة - مقدار قليل
vibrant 	نابض بالحياة 
thoughtfully	مدروس
ergonomics	بيئة العمل 
mutually-exclusive	متنافى
opted for	أختار
legit		قانونى
inadvertently 	عن غير قصد
sinister	شرير
deprive 	يحرم
lousy 		ردئ
cater to	تلبية - تزويد بالطعام
interoperability امكانية التشغيل البينى
dictate 	أمر - أملى
tactfully 	بلباقة - بشياكة
brittle 	هش
recurring 	دورى - متكرر
Skimming 	
glamrous	براق - فاتن - ساحر
gauge 		مقياس - عيار
contenders	المتنافسين
degenerate 	منحط - منحل
All the more	أكثر من ذلك
quite often	غالبا
boasts 		يتفاخر
contemporary 	عصرى
thriving 	مزدهر
enduring 	مستدام
undergo 	يتخلى - يخضع
Synergy		التأزر
granular 	محبب
rigorous 	قاسى
de-facto	بحكم الأمر الواقع
nitty-gritty	التفاصيل الدقيقة ومفاصل الأمور - (كل فتفوتة (
tempted 	يغرى - يجذب
cumbersome 	معقد - مرهق
conform 	يتوافق
unified		موحد
